<tab:table2>
-.67935002	-.80130268	  .0511126	  .0156638	  .0117877
 .08861699	 .06245877	 .05784493	 .05629087	 .05629478
-1.9105908	-.58702782	 .03281593	 .03929128	 .03615022
 .07881017	 .06635178	 .06192214	 .06041113	  .0604177
-.70667326	 .00064665	-.03661747	-.03248401	-.03578775
 .07310109	 .06472402	 .06092019	 .05927768	 .05927306
-.06784036	 .52885881	 .13429162	 .10807446	 .10420234
 .07203566	 .06438746	 .06069512	  .0590152	 .05901575
 .38579189	  .9319546	 .38928141	 .36568453	 .36300133
 .07330508	 .06479436	 .06106939	 .05952262	 .05952092
 .00784357	 .43672543	 .51901774	 .48933624	 .48694018
  .0734533	 .06454074	 .06032863	 .05884794	 .05885122
-.03865126	 .19688168	 .83001269	 .79583018	 .79404121
 .07377488	 .06562329	 .06128469	 .05967671	 .05968668
 .71230149	 .68129189	 1.6470769	 1.0247612	 1.0241422
 .07617445	 .07035958	   .064938	 .06284883	    .06285
