<tab:appendixtable5>
 .11852788	  .0863538	 .92140272	 .60209734
  .0400613	 .02001815	  .0888929	 .12956451
 .61230152	 .24602033	 1.0862447	  .8009303
 .02534185	 .01711739	 .08648758	 .12628034
 .76410123	 .43419953	 .94154549	 .73853966
 .02438174	 .01904137	 .08320941	  .1222928
 .26766481	-.11610644	 .81160109	 .58497016
 .02306986	 .01860391	 .08176494	 .11977302
 .26734985	-.11535525	 .81231253	 .58611522
 .02307497	 .01860885	 .08176855	 .11977709
 .76821503	 1.4285582	-1.0541191	-1.1697756
 .03868697	 .02323832	 .08649059	 .19222068
   .591973	 1.7489542	-1.0379471	-1.1944854
 .03373643	 .02186026	 .08555744	 .19075376
 .87261723	  .7166133	  .1959365	 .11774353
 .03367512	 .02578985	 .08330625	 .18331854
 .27091116	 .30546854	 .04185806	-.01416354
 .03289837	 .02563012	 .08194694	 .18045321
 .27051191	   .304802	 .03983014	-.01546669
 .03289918	 .02563207	 .08195724	 .18045187
